"id","cliente","accionId","accion","operacion","modo","fechaOperacion","cantidad","precio","estado"
"1","1102","1","APPL","COMPRA","AHORA","2023-11-29T12:30:00.935193-03:00","10","120.5","PENDIENTE"
"2","1102","1","APPL","VENTA","INICIODIA","2023-11-29T09:30:00.935193-03:00","15","86.5","ENVIADO"
"3","1102","2","GOOGL","COMPRA","FINDIA","2023-11-24T19:11:06.935193-03:00","15","121.462105","CANCELADO"
"4","1102","3","INTC","COMPRA","FINDIA","2023-11-25T10:36:55.623896-03:00","15","346.99048","ENVIADO"
"5","5","3","INTC","COMPRA","FINDIA","2023-11-27T11:08:18.554539-03:00","25","345.50372","ENVIADO"
"6","6","4","KO","COMPRA","AHORA","2023-11-27T11:08:19.190768-03:00","25","4.8734045","ENVIADO"
"7","5","7","GGAL","COMPRA","INICIODIA","2023-11-27T11:08:20.236810-03:00","25","782.4302","ENVIADO"
"8","1","1","AAPL","COMPRA","AHORA","2023-11-27T11:08:22.989864-03:00","100","11.0","ENVIADO"
"9","6","3","INTC","COMPRA","FINDIA","2023-11-25T00:00:00.236810-03:00","20","345.50372","CANCELADO"
"10","3","3","INTC","COMPRA","FINDIA","2023-11-27T11:08:24.594496-03:00","25","345.50372","ENVIADO"
"11","2","4","KO","VENTA","AHORA","2023-11-27T11:08:25.317622-03:00","5","4.8734045","ENVIADO"
"12","5","4","KO","VENTA","INICIODIA","2023-11-27T11:08:25.988676-03:00","25","4.8734045","CANCELADO"
"13","1","2","GOOGL","COMPRA","AHORA","2023-11-27T11:08:26.556494-03:00","100","121.31219","PENDIENTE"
"14","1","3","INTC","COMPRA","FINDIA","2023-11-27T16:25:51.161178-03:00","15","345.82083","CANCELADO"
"15","1","3","INTC","COMPRA","INICIODIA","2023-11-28T14:05:29.008304-03:00","15","339.0","PENDIENTE"
"16","1","3","INTC","VENTA","FINDIA","2023-11-28T14:07:02.976549-03:00","15","339.0","PENDIENTE"
