id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo;estado
1;48469;32217;input synthesize Técnico;VENTA;67263;6249;2023-11-09T20:13:48;INICIODIA;ENVIADO
2;26312;92349;Borders target Cambridgeshire;VENTA;29939;17935;2023-11-09T15:54:31;AHORA;ENVIADO
3;67206;1403;Partida Juguetería Account;VENTA;61533;47723;2023-11-09T23:44:07;FINDIA;ENVIADO
4;12661;41371;Madera Murcia Eritrea;COMPRA;3657;80522;2023-11-09T15:37:06;INICIODIA;ENVIADO
5;84224;19200;valor Oro Genérico;COMPRA;49428;26257;2023-11-10T08:30:16;AHORA;PENDIENTE
6;45390;9978;Nacional;VENTA;7768;45796;2023-11-09T20:36:31;AHORA;CANCELADO
7;89583;73672;Hryvnia;COMPRA;49498;87034;2023-11-10T01:44:31;INICIODIA;ENVIADO
8;18190;47591;Mobilidad Hryvnia;COMPRA;17360;87462;2023-11-10T12:44:39;AHORA;ENVIADO
9;75741;54946;Auto intuitive multitarea;COMPRA;91977;82216;2023-11-09T21:53:36;FINDIA;CANCELADO
10;83958;9897;Mesa;VENTA;28712;73213;2023-11-09T13:46:25;AHORA;CANCELADO
