id;cliente;accion_id;accion;operacion;cantidad;precio;fecha_operacion;modo;estado;reportada;operacion_observaciones;fecha_ejecucion
1;35664;12192;Interno PCI Artesanal;VENTA;84408;40051;2023-11-27T00:17:24;FINDIA;FALLIDA;true;override Parafarmacia Genérico;2023-11-27T09:33:40
2;15152;47911;asíncrona Futuro;COMPRA;6763;59680;2023-11-27T06:59:46;AHORA;FALLIDA;true;haptic;2023-11-26T17:14:28
3;20016;55944;Savings Opcional;VENTA;30854;74087;2023-11-27T02:36:21;PRINCIPIODIA;FALLIDA;true;navigating;2023-11-27T04:43:32
4;81050;11747;Loan payment Sorprendente;VENTA;60493;9029;2023-11-27T03:58:53;AHORA;EXITOSA;true;Ethiopian Rústico;2023-11-27T04:13:19
5;76727;97063;Algodón;COMPRA;42446;66852;2023-11-27T03:46:13;FINDIA;PENDIENTE;true;one-to-one Mercado Violeta;2023-11-27T10:51:06
6;75068;29529;Hormigon Investment;COMPRA;17841;11006;2023-11-27T13:58:55;FINDIA;EXITOSA;true;data-warehouse Inteligente Diverso;2023-11-26T17:46:47
7;12277;81124;parsing Extremadura;VENTA;93777;97645;2023-11-26T17:42:31;FINDIA;PENDIENTE;false;Adaptativo 24/7;2023-11-27T12:05:20
8;14355;63937;parse Rojo;COMPRA;77785;39314;2023-11-27T15:03:17;AHORA;PENDIENTE;false;Guapa Mercados;2023-11-27T01:05:02
9;2152;54273;Re-contextualizado;COMPRA;23409;77635;2023-11-27T05:15:27;FINDIA;PENDIENTE;true;primary funcionalidad;2023-11-27T15:22:56
10;53004;83427;precios payment Asociado;VENTA;37851;52872;2023-11-27T09:52:07;PRINCIPIODIA;EXITOSA;true;Sopa monetize;2023-11-27T13:06:14
