id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo;operacion_exitosa;operacion_observaciones;estado
1;31604;67230;Pizza;VENTA;35191;54693;2023-11-15T07:05:52;INICIODIA;false;direccional;false
2;19862;43421;quantifying markets Bolivar;VENTA;57965;19860;2023-11-15T06:08:26;INICIODIA;false;Baleares misión;false
3;23082;44890;Silla didactica;COMPRA;55463;12490;2023-11-15T08:54:33;INICIODIA;false;override;false
4;72403;78207;Bedfordshire;COMPRA;13550;61682;2023-11-15T18:34:36;AHORA;true;driver Dollar;true
5;37548;36745;Paradigma Seguridada;COMPRA;14707;37095;2023-11-15T02:53:39;FINDIA;false;alarm;true
6;52798;62133;application Cine;COMPRA;63032;89895;2023-11-15T01:08:06;AHORA;false;Bedfordshire Puerta;true
7;59465;61403;Productor syndicate;VENTA;75617;35123;2023-11-14T22:44:36;AHORA;true;hacking Violeta;true
8;75583;32019;Tonga;COMPRA;69963;37865;2023-11-15T12:43:52;FINDIA;false;transmitting mediante;true
9;34337;79758;convergence Humano;COMPRA;33663;9974;2023-11-15T00:36:32;AHORA;false;Silla Congo;false
10;30012;90428;Violeta Plástico estructura;COMPRA;54876;13107;2023-11-14T22:36:06;FINDIA;false;Granito;false
